preset,coeff,value,baseline,outcome,mechanism,secondary_mechanism,confidence,termination_event,duration_months,decisive_shock_score,strategic_exhaustion_score,political_exhaustion_score
vietnam_war,shock_damage,4.375,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5803765068839665,political/military collapse of side B,18,20.7,28.5,9.4
vietnam_war,shock_damage,6.25,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5742732572483511,political/military collapse of side B,17,20.7,27.7,9.3
vietnam_war,shock_damage,8.125,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5719557310692618,political/military collapse of side B,16,20.7,27.2,9.0
vietnam_war,shock_damage,10.0,5.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5649731010860233,political/military collapse of side B,15,20.7,26.4,9.3
wwi,shock_damage,2.5,5.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5930919333767583,negotiated settlement,19,20.9,31.0,15.1
wwi,shock_damage,4.375,5.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5985995713714576,negotiated settlement,19,20.9,30.9,15.6
wwi,shock_damage,6.25,5.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6124583395984646,negotiated settlement,20,20.9,31.6,17.2
wwi,shock_damage,8.125,5.0,negotiated_settlement,strategic exhaustion,decisive shock,0.617369814671671,negotiated settlement,20,20.9,31.6,17.7
wwi,shock_damage,10.0,5.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6221241162097014,negotiated settlement,20,20.9,31.5,18.2
gulf_war_1991,retaliation,2.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6053507507471478,political/military collapse of side B,31,20.4,24.5,18.8
gulf_war_1991,retaliation,3.5,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.605641851991706,political/military collapse of side B,31,20.6,25.2,18.8
gulf_war_1991,retaliation,5.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6058769858099734,political/military collapse of side B,31,20.7,26.0,18.8
gulf_war_1991,retaliation,6.5,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6057219927447779,political/military collapse of side B,31,20.9,26.8,18.8
gulf_war_1991,retaliation,8.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6056302668046508,political/military collapse of side B,31,21.1,27.7,18.8
vietnam_war,retaliation,2.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5700526210799649,political/military collapse of side B,17,20.7,27.6,9.1
vietnam_war,retaliation,3.5,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5703956280961817,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,retaliation,5.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.570686283538481,political/military collapse of side B,17,20.7,27.8,9.1
vietnam_war,retaliation,6.5,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5709767169670625,political/military collapse of side B,17,20.7,27.9,9.1
vietnam_war,retaliation,8.0,4.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5712855276194078,political/military collapse of side B,17,20.7,28.0,9.1
wwi,retaliation,2.0,4.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6241601993403854,negotiated settlement,22,20.8,32.6,17.8
wwi,retaliation,3.5,4.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6153391845386157,negotiated settlement,21,20.9,32.3,17.7
wwi,retaliation,5.0,4.0,negotiated_settlement,strategic exhaustion,decisive shock,0.592305309266405,negotiated settlement,18,21.0,30.5,15.7
wwi,retaliation,6.5,4.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5914868383775652,negotiated settlement,18,21.2,30.8,15.7
wwi,retaliation,8.0,4.0,negotiated_settlement,strategic exhaustion,decisive shock,0.5915678467990643,negotiated settlement,18,21.3,31.1,15.7
gulf_war_1991,shock_industrial_factor,0.125,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.6043846588108936,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,shock_industrial_factor,0.2188,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.6053731539647613,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,shock_industrial_factor,0.3125,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.6063687535142078,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,shock_industrial_factor,0.4062,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.6010371603257416,political/military collapse of side B,30,20.6,25.3,17.6
gulf_war_1991,shock_industrial_factor,0.5,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.6019834044709861,political/military collapse of side B,30,20.6,25.3,17.6
vietnam_war,shock_industrial_factor,0.125,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.5820143267397389,political/military collapse of side B,18,20.7,28.5,9.5
vietnam_war,shock_industrial_factor,0.2188,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.5704720600498303,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,shock_industrial_factor,0.3125,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.5705113566975799,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,shock_industrial_factor,0.4062,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.570550646155645,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,shock_industrial_factor,0.5,0.25,decisive_victory_a,strategic exhaustion,decisive shock,0.5705899284259984,political/military collapse of side B,17,20.7,27.7,9.1
wwi,shock_industrial_factor,0.125,0.25,negotiated_settlement,strategic exhaustion,decisive shock,0.6004103359508601,negotiated settlement,19,20.9,30.9,15.7
wwi,shock_industrial_factor,0.2188,0.25,negotiated_settlement,strategic exhaustion,decisive shock,0.6004444187888842,negotiated settlement,19,20.9,30.9,15.7
wwi,shock_industrial_factor,0.3125,0.25,negotiated_settlement,strategic exhaustion,decisive shock,0.6004784958132428,negotiated settlement,19,20.9,30.9,15.7
wwi,shock_industrial_factor,0.4062,0.25,negotiated_settlement,strategic exhaustion,decisive shock,0.6005125670254227,negotiated settlement,19,20.9,30.9,15.7
wwi,shock_industrial_factor,0.5,0.25,negotiated_settlement,strategic exhaustion,decisive shock,0.6005466324269111,negotiated settlement,19,20.9,30.9,15.7
gulf_war_1991,shock_political_factor,0.1,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6022339449740622,political/military collapse of side B,31,20.6,25.5,14.3
gulf_war_1991,shock_political_factor,0.175,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.604843048158138,political/military collapse of side B,31,20.6,25.5,17.7
gulf_war_1991,shock_political_factor,0.25,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6074181461384166,political/military collapse of side B,31,20.6,25.5,21.1
gulf_war_1991,shock_political_factor,0.325,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6099598994103117,political/military collapse of side B,31,20.6,25.5,24.5
gulf_war_1991,shock_political_factor,0.4,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6124689514738834,political/military collapse of side B,31,20.6,25.5,27.9
vietnam_war,shock_political_factor,0.1,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5701285261638791,political/military collapse of side B,17,20.7,27.7,8.7
vietnam_war,shock_political_factor,0.175,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5703960568272683,political/military collapse of side B,17,20.7,27.7,9.0
vietnam_war,shock_political_factor,0.25,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5706632547021632,political/military collapse of side B,17,20.7,27.7,9.3
vietnam_war,shock_political_factor,0.325,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5709301204091242,political/military collapse of side B,17,20.7,27.7,9.6
vietnam_war,shock_political_factor,0.4,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5711966545671703,political/military collapse of side B,17,20.7,27.7,9.9
wwi,shock_political_factor,0.1,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.5998341575052353,negotiated settlement,19,20.9,30.9,14.9
wwi,shock_political_factor,0.175,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6003005543346542,negotiated settlement,19,20.9,30.9,15.5
wwi,shock_political_factor,0.25,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6007658652504538,negotiated settlement,19,20.9,30.9,16.2
wwi,shock_political_factor,0.325,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.60123009404073,negotiated settlement,19,20.9,30.9,16.8
wwi,shock_political_factor,0.4,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6016932444759796,negotiated settlement,19,20.9,30.9,17.4
gulf_war_1991,military_shock_factor,25.0,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6093075614172984,political/military collapse of side B,31,20.3,25.5,18.8
gulf_war_1991,military_shock_factor,43.75,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6066167514631526,political/military collapse of side B,31,20.5,25.5,18.8
gulf_war_1991,military_shock_factor,62.5,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.603947374259159,political/military collapse of side B,31,20.8,25.5,18.8
gulf_war_1991,military_shock_factor,81.25,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.6013013869677926,political/military collapse of side B,31,21.0,25.5,18.8
gulf_war_1991,military_shock_factor,100.0,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5986799436501233,political/military collapse of side B,31,21.2,25.5,18.8
vietnam_war,military_shock_factor,25.0,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.57450816522145,political/military collapse of side B,17,20.3,27.7,9.1
vietnam_war,military_shock_factor,43.75,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5714866691855774,political/military collapse of side B,17,20.6,27.7,9.1
vietnam_war,military_shock_factor,62.5,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5684954039769131,political/military collapse of side B,17,20.8,27.7,9.1
vietnam_war,military_shock_factor,81.25,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.5654887041688652,political/military collapse of side B,17,21.1,27.7,9.1
vietnam_war,military_shock_factor,100.0,50.0,decisive_victory_a,strategic exhaustion,decisive shock,0.562563805125748,political/military collapse of side B,17,21.4,27.7,9.1
wwi,military_shock_factor,25.0,50.0,negotiated_settlement,strategic exhaustion,decisive shock,0.6057614498925133,negotiated settlement,19,20.5,30.9,15.7
